Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Ireland,IRL,186906116296.485
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Isle of Man,IMN,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Israel,ISR,300905439609.344
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Italy,ITA,1441569325109.3
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Jamaica,JAM,12209748596.641
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Japan,JPN,3430053812879.29
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Jordan,JOR,38590155734.3904
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Kazakhstan,KAZ,154381180562.344
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Kenya,KEN,69858066962.6868
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Kiribati,KIR,349563146.591208
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Korea, Dem. People's Rep.",PRK,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Korea, Rep.",KOR,1269275276107.25
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Kosovo,XKX,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Kuwait,KWT,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Kyrgyz Republic,KGZ,6015903804.19687
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Lao PDR,LAO,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Latvia,LVA,24121045406.0515
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Lebanon,LBN,29809838249.075
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Lesotho,LSO,1763141992.13956
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Liberia,LBR,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Libya,LBY,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Liechtenstein,LIE,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Lithuania,LTU,40759338368.0709
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Luxembourg,LUX,38117432690.3893
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,"Macao SAR, China",MAC,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Madagascar,MDG,10200712296.3687
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Malawi,MWI,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Malaysia,MYS,246406171884.789
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Maldives,MDV,2591850457.68878
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Mali,MLI,13043720854.5175
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Malta,MLT,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Marshall Islands,MHL,..
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Mauritania,MRT,7619807512.9392
Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,Mauritius,MUS,10433705364.8717
